Station,Station ID,Latitude,Longitude,Municipality,# of Docks
359 Broadway - Broadway at Fayette Street,M32026,42.370803,-71.104412,Cambridge,19
Agganis Arena - 925 Comm Ave.,A32002,42.351246,-71.115639,Boston,19
Alewife Station at Russell Field,M32033,42.396105,-71.139459,Cambridge,23
Allston Green District - Commonwealth Ave & Griggs St,A32017,42.348607,-71.13401,Boston,15
Ames St at Main St,M32037,42.3625,-71.08822,Cambridge,19
Andrew Station - Dorchester Ave at Humboldt Pl,C32012,42.330716,-71.057044,Boston,15
Aquarium Station - 200 Atlantic Ave.,B32004,42.35977,-71.051601,Boston,19
B.U. Central - 725 Comm. Ave.,A32003,42.350406,-71.108279,Boston,11
Back Bay / South End Station,C32003,42.34807412,-71.07657015,Boston,19
Beacon St / Mass Ave,B32016,42.350851,-71.089886,Boston,19
Beacon St at Washington / Kirkland,S32003,42.37842,-71.105668,Somerville,15
BIDMC - Brookline at Burlington St,B32020,42.345733,-71.100694,Boston,15
Binney St / Sixth St,M32027,42.366095,-71.086388,Cambridge,19
Boston Convention & Exhibition Center,D32018,42.3475,-71.0441,Boston,19
Boston Medical Center -  East Concord at Harrison Ave,C32002,42.336437,-71.073089,Boston,19
Boston Public Library - 700 Boylston St.,D32005,42.349673,-71.077303,Boston,25
Boylston / Mass Ave,B32018,42.347265,-71.088088,Boston,15
Boylston at Fairfield,C32008,42.348762,-71.082383,Boston,19
Boylston St / Berkeley St,D32013,42.350989,-71.073644,Boston,15
Boylston St / Washington St,D32019,42.352409,-71.062679,Boston,15
Boylston St. at Arlington St.,D32007,42.352033,-71.070627,Boston,23
Brigham Cir / Huntington Ave,B32013,42.334073,-71.105221,Boston,15
Brighton Center,D32028,42.34894857,-71.15027189,Boston,16
Broadway St at Mt Pleasant St,S32014,42.38614141,-71.0782814,Somerville,15
Brookline Village - Station Street @ MBTA,K32005,42.33289074,-71.11658335,Brookline,15
Bunker Hill Community College,A32023,42.37408991,-71.06905997,Boston,18
Buswell St. at Park Dr.,A32008,42.347241,-71.105301,Boston,15
Cambridge Main Library at Broadway / Trowbridge St,M32013,42.373379,-71.111075,Cambridge,19
Cambridge St - at Columbia St / Webster Ave,M32007,42.372969,-71.094445,Cambridge,15
Cambridge St. at Joy St.,D32000,42.361174,-71.065142,Boston,15
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,M32019,42.366981,-71.076472,Cambridge,15
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,M32012,42.366426,-71.105495,Cambridge,17
Central Square at Mass Ave / Essex St,M32011,42.36507,-71.1031,Cambridge,19
Charles Circle - Charles St. at Cambridge St.,D32016,42.360835,-71.0708399,Boston,15
Charles St at Beacon St,D32024,42.356052,-71.069849,Boston,15
Charlestown - Main St at Austin St,D32020,42.375603,-71.064608,Boston,11
Charlestown - Warren St at Chelsea St,D32021,42.371848,-71.060292,Boston,19
Chinatown Gate Plaza - Surface Rd. at Beach St.,D32015,42.351356,-71.059367,Boston,15
Christian Science Plaza,B32005,42.343864,-71.085918,Boston,19
Colleges of the Fenway,B32006,42.340021,-71.100812,Boston,15
Columbus Ave. at Mass. Ave.,C32004,42.340799,-71.081572,Boston,11
Congress / Sleeper,C32010,42.3511,-71.0496,Boston,19
Congress St and Northern Ave,C32032,42.34820322,-71.0376513,Boston,14
Conway Park - Somerville Avenue,S32004,42.383405,-71.107593,Somerville,15
Coolidge Corner - Beacon St @ Centre St,K32001,42.341598,-71.123338,Brookline,19
Cross St. at Hanover St.,D32010,42.362811,-71.056067,Boston,19
Curtis Hall at South Street,E32001,42.309054,-71.11543,Boston,15
Dana Park,M32030,42.361589,-71.107437,Cambridge,19
Danehy Park,M32031,42.388966,-71.132788,Cambridge,17
Davis Square,S32006,42.396969,-71.123024,Somerville,25
Day Boulevard,C32023,42.336448,-71.023739,Boston,19
Dorchester Ave. at Gillette Park,C32009,42.344023,-71.057054,Boston,15
Dudley Square,B32017,42.328654,-71.084198,Boston,15
E. Cottage St at Columbia Rd,C32018,42.320561,-71.06198,Boston,19
Edwards Playground - Main Street & Eden Street,A32022,42.378965,-71.068607,Boston,15
EF - North Point Park,M32034,42.369885,-71.069957,Cambridge,23
Egleston Square at Columbus Ave,E32004,42.315692,-71.098634,Boston,15
Fan Pier,A32000,42.35328743,-71.04438901,Boston,15
Faneuil Hall - Union St. at North St.,D32009,42.360613,-71.057452,Boston,19
Franklin Park - Seaver Street at Humbolt Ave,C32027,42.309796,-71.092225,Boston,15
Franklin Park Zoo,C32030,42.303469,-71.085347,Boston,14
Franklin St. / Arch St.,D32004,42.355402,-71.058087,Boston,23
Green St T,E32005,42.310579,-71.107341,Boston,15
Harvard Kennedy School at Bennett St / Eliot St,M32016,42.371196,-71.121473,Cambridge,23
